effect_id,study_id,evidence_id,outcome_domain,effect_measure,estimate,standard_error,variance,variance_provenance,ci_lower,ci_upper,effect_unit,intervention_mean,intervention_sd,intervention_n,control_mean,control_sd,control_n,intervention_arm_id,control_arm_id,comparison,time_point,sample_size_total,extraction_method,validation_ready,confidence,source_final_value,intervention_class,arm_label,source_title,analysis_study_id,canonical_unit,is_microbial_arm,comparison_matches_microbial_arm,is_high_confidence,has_variance,has_direct_variance,mixed_or_unspecified_unit,review_like_title,cointervention_flag,duplicate_publication_alias,multiple_effects_same_trial_stratum,robust_outlier_flag,primary_analysis_eligible
EUROPEPMC:41413231::weight::kg,EUROPEPMC:41413231,EUROPEPMC:41413231,weight,adjusted_mean_difference,-1.16,0.0994897959183673,0.0098982194918783,reported_ci,-1.36,-0.97,kg,,,,,,,EUROPEPMC:41413231::arm:intervention,EUROPEPMC:41413231::arm:control,synbiotic_vs_placebo_adjusted,4 months,96.0,adjusted_difference_with_95ci,True,high,adjusted difference -1.16 (95% CI -1.36 to -0.97),synbiotic,synbiotic,"The promising effects of a multi-species synbiotic preparation on metabolic profile in elderly patients with type 2 diabetes and high cardiovascular risk: a randomized, triple-blind, placebo-controlled trial.",PMID:41413231,kg,True,True,True,True,True,False,False,,False,False,False,True
EUROPEPMC:41413231::BMI::kg/m2,EUROPEPMC:41413231,EUROPEPMC:41413231,BMI,adjusted_mean_difference,-0.44,0.0382653061224489,0.0014642336526447,reported_ci,-0.51,-0.36,kg/m2,,,,,,,EUROPEPMC:41413231::arm:intervention,EUROPEPMC:41413231::arm:control,synbiotic_vs_placebo_adjusted,4 months,96.0,adjusted_difference_with_95ci,True,high,adjusted difference -0.44 (95% CI -0.51 to -0.36),synbiotic,synbiotic,"The promising effects of a multi-species synbiotic preparation on metabolic profile in elderly patients with type 2 diabetes and high cardiovascular risk: a randomized, triple-blind, placebo-controlled trial.",PMID:41413231,kg/m2,True,True,True,True,True,False,False,,False,False,False,True
PMID:40732984::weight::kg change,PMID:40732984,PMID:40732984,weight,adjusted_mean_difference,-6.5,2.770408163265306,7.675161391087045,reported_ci,-11.93,-1.07,kg change,,,,,,,PMID:40732984::arm:intervention,PMID:40732984::arm:control,WLM3P_vs_low_calorie_diet,6 months,58.0,adjusted_difference_with_95ci,True,high,WLM3P -20.6 vs LCD -12.9; adjusted group difference -6.50 (95% CI -11.93 to -1.07),other,WLM3P,Gut Microbiota Shifts After a Weight Loss Program in Adults with Obesity: The WLM3P Study.,PMID:40732984,kg,False,True,True,True,True,False,False,diet,False,False,False,False
PMID:40732984::BMI::kg/m2 change,PMID:40732984,PMID:40732984,BMI,adjusted_mean_difference,-2.61,0.5535714285714286,0.3064413265306123,reported_ci,-3.69,-1.52,kg/m2 change,,,,,,,PMID:40732984::arm:intervention,PMID:40732984::arm:control,WLM3P_vs_low_calorie_diet,6 months,58.0,adjusted_difference_with_95ci,True,high,WLM3P -7.1 vs LCD -4.6; adjusted difference -2.61 (95% CI -3.69 to -1.52),other,WLM3P,Gut Microbiota Shifts After a Weight Loss Program in Adults with Obesity: The WLM3P Study.,PMID:40732984,kg/m2,False,True,True,True,True,False,False,diet,False,False,False,False
PMID:37545298::weight::kg change at day 28,PMID:37545298,PMID:37545298,weight,unadjusted_mean_difference,-0.14,0.411710920857027,0.1695058823529411,arm_sd_and_n,-0.946953404879773,0.666953404879773,kg change at day 28,-0.98,1.4,17.0,-0.84,0.96,17.0,PMID:37545298::arm:intervention,PMID:37545298::arm:control,intermittent_low_carb_vs_intermittent_calorie_restriction,28 days,34.0,two_arm_mean_sd_and_arm_n,True,high,ILCD -0.98 +/- 1.40 vs ICR -0.84 +/- 0.96,other,intermittent low carb,Intermittent dietary carbohydrate restriction versus calorie restriction and cardiometabolic profiles: A randomized trial.,PMID:37545298,kg,False,True,True,True,True,False,False,diet,False,False,False,False
PMID:37545298::waist::cm change at day 28,PMID:37545298,PMID:37545298,waist,unadjusted_mean_difference,0.98,0.7364461563321996,0.5423529411764705,arm_sd_and_n,-0.4634344664111113,2.423434466411111,cm change at day 28,-0.17,2.46,17.0,-1.15,1.78,17.0,PMID:37545298::arm:intervention,PMID:37545298::arm:control,intermittent_low_carb_vs_intermittent_calorie_restriction,28 days,34.0,two_arm_mean_sd_and_arm_n,True,high,ILCD -0.17 +/- 2.46 vs ICR -1.15 +/- 1.78,other,intermittent low carb,Intermittent dietary carbohydrate restriction versus calorie restriction and cardiometabolic profiles: A randomized trial.,PMID:37545298,cm,False,True,True,True,True,False,False,diet,False,False,False,False
PMID:32521799::BMI::kg/m2,PMID:32521799,PMID:32521799,BMI,adjusted_mean_difference,-0.45,0.1224489795918367,0.014993752603082,reported_ci,-0.69,-0.21,kg/m2,,,,,,,PMID:32521799::arm:intervention,PMID:32521799::arm:control,probiotic_vs_control_pooled,,1256.0,adjusted_difference_with_95ci,True,high,between-group difference -0.45 (95% CI -0.69 to -0.21),probiotic,probiotic,The Effect of Probiotics and Synbiotics on Risk Factors Associated with Cardiometabolic Diseases in Healthy People-A Systematic Review and Meta-Analysis with Meta-Regression of Randomized Controlled T,PMID:32521799,kg/m2,True,True,True,True,True,False,True,,False,False,False,False
PMID:32521799::lipid::mg/dL,PMID:32521799,PMID:32521799,lipid,adjusted_mean_difference,-13.27,1.7704081632653057,3.1343450645564324,reported_ci,-16.74,-9.8,mg/dL,,,,,,,PMID:32521799::arm:intervention,PMID:32521799::arm:control,probiotic_vs_control_pooled,,,adjusted_difference_with_95ci,True,high,between-group difference -13.27 (95% CI -16.74 to -9.80),probiotic,probiotic,The Effect of Probiotics and Synbiotics on Risk Factors Associated with Cardiometabolic Diseases in Healthy People-A Systematic Review and Meta-Analysis with Meta-Regression of Randomized Controlled T,PMID:32521799,mg/dL,True,True,True,True,True,False,True,,False,False,False,False
PMID:31263284::weight::kg,PMID:31263284,PMID:31263284,weight,adjusted_mean_difference,-2.27,0.9183673469387756,0.8433985839233655,reported_ci,-4.07,-0.47,kg,,,,,,,PMID:31263284::arm:intervention,PMID:31263284::arm:control,pasteurized_akkermansia_muciniphila_vs_placebo,12 weeks,40.0,adjusted_difference_with_95ci,True,high,between-group difference -2.27 (95% CI -4.07 to -0.47),probiotic,pasteurized akkermansia muciniphila,"Pasteurized Akkermansia muciniphila in overweight/obese humans (Depommier, Nat Med 2019)",PMID:31263284,kg,True,True,True,True,True,False,False,,False,False,False,True
PMID:31263284::body_fat::kg,PMID:31263284,PMID:31263284,body_fat,adjusted_mean_difference,-1.37,0.8214285714285714,0.6747448979591836,reported_ci,-2.98,0.24,kg,,,,,,,PMID:31263284::arm:intervention,PMID:31263284::arm:control,pasteurized_akkermansia_muciniphila_vs_placebo,12 weeks,40.0,adjusted_difference_with_95ci,True,high,between-group difference -1.37 (95% CI -2.98 to 0.24),probiotic,pasteurized akkermansia muciniphila,"Pasteurized Akkermansia muciniphila in overweight/obese humans (Depommier, Nat Med 2019)",PMID:31263284,kg,True,True,True,True,True,False,False,,False,False,False,True
